idx,address,matched_street,matched_zip,matched_city,matched_state,lat,lon,score,precision,geocode_result
256,4545 e shea blvd phoenix az 85028,E Shea Blvd,85028,Phoenix,AZ,33.582582,-111.984553,0.938,range,geocoded
286,100 east carroll st salisbury md 21801,E Carroll St,21801,Salisbury,MD,38.363139,-75.597749,0.938,range,geocoded
293,4510 executive drive san diego ca 92121,Executive Dr,92121,San Diego,CA,32.875836,-117.210015,0.938,range,geocoded
334,750 east adams st syracuse ny 13210,E Adams St,13210,Syracuse,NY,43.042685,-76.140546,0.938,range,geocoded
119,3009 sw williston road gainesville fl 32608,SW Williston Rd,32608,Gainesville,FL,29.607409,-82.365628,0.939,range,geocoded
196,2800 e broad street mansfield tx 76063,E Broad St,76063,Mansfield,TX,32.56933,-97.095425,0.939,range,geocoded
224,200 henry clay avenue new orleans la 70118,Henry Clay Ave,70118,New Orleans,LA,29.917703,-90.1271,0.939,range,geocoded
121,1365 s germantown rd germantown tn 38138,S Germantown Rd,38138,Germantown,TN,35.1118,-89.80244,0.94,range,geocoded
123,100 michigan street ne grand rapids mi 49503,Michigan St NE,49503,Grand Rapids,MI,42.970508,-85.666541,0.94,range,geocoded
136,30 hope drive hershey pa 17033,Hope Dr,17033,Hershey,PA,40.268385,-76.662198,0.94,range,geocoded
23,827 linden avenue baltimore md 21201,Linden Ave,21201,Baltimore,MD,39.300307,-76.620959,0.941,range,geocoded
74,151 w galbraith rd cincinnati oh 45216,W Galbraith Rd,45216,Cincinnati,OH,39.213316,-84.478151,0.941,range,geocoded
81,1020 hitt street columbia mo 65201,Hitt St,65201,Columbia,MO,38.938728,-92.3253,0.941,range,geocoded
139,3288 moanalua rd honolulu hi 96819,Moanalua Rd,96819,Honolulu,HI,21.362312,-157.900995,0.941,range,geocoded
151,200 hawkins drive iowa city ia 52242,Hawkins Dr,52242,Iowa City,IA,41.657238,-91.54985,0.941,range,geocoded
153,200 hawkins drive iowa city ia 52242,Hawkins Dr,52242,Iowa City,IA,41.657238,-91.54985,0.941,range,geocoded
154,200 hawkins drive iowa city ia 52242,Hawkins Dr,52242,Iowa City,IA,41.657238,-91.54985,0.941,range,geocoded
161,1401 jefferson hwy jefferson la 70121,Jefferson Hwy,70121,Jefferson,LA,29.962876,-90.144294,0.941,range,geocoded
248,3400 civic center blvd philadelphia pa 19104,Civic Center Blvd,19104,Philadelphia,PA,39.948447,-75.192176,0.941,range,geocoded
249,3500 civic center blvd philadelphia pa 19104,Civic Center Blvd,19104,Philadelphia,PA,39.94731,-75.194872,0.941,range,geocoded
282,16040 park valley dr round rock tx 78681,Park Valley Dr,78681,Round Rock,TX,30.512238,-97.713134,0.941,range,geocoded
292,200 west arbor dr san diego ca 92103,W Arbor Dr,92103,San Diego,CA,32.753821,-117.165548,0.941,range,geocoded
131,15 valley drive greenwich ct 06831,Valley Dr,06831,Greenwich,CT,41.019251,-73.64545,0.942,range,geocoded
170,351 n buffalo dr las vegas nv 89145,N Buffalo Dr,89145,Las Vegas,NV,36.176272,-115.25992,0.942,range,geocoded
289,333 n santa rosa st san antonio tx 78207,N Santa Rosa St,78207,San Antonio,TX,29.428129,-98.497838,0.942,range,geocoded
353,300 polaris parkway westerville oh 43082,Polaris Pkwy,43082,Westerville,OH,40.146683,-82.936565,0.942,range,geocoded
117,1500 cooper street fort worth tx 76104,Cooper St,76104,Fort Worth,TX,32.736506,-97.342007,0.943,range,geocoded
126,611 northern blvd great neck ny 11021,Northern Blvd,11021,Great Neck,NY,40.781776,-73.717383,0.943,range,geocoded
141,6550 fannin st houston tx 77030,Fannin St,77030,Houston,TX,29.711339,-95.399659,0.943,range,geocoded
186,401 e chestnut st louisville ky 40202,E Chestnut St,40202,Louisville,KY,38.247791,-85.747193,0.943,range,geocoded
188,411 e chestnut st louisville ky 40202,E Chestnut St,40202,Louisville,KY,38.247843,-85.747021,0.943,range,geocoded
241,32 w gore st orlando fl 32806,W Gore St,32806,Orlando,FL,28.531141,-81.377492,0.943,range,geocoded
296,2324 sacramento street san francisco ca 94115,Sacramento St,94115,San Francisco,CA,37.790275,-122.431068,0.943,range,geocoded
308,7242 e osborn road scottsdale az 85251,E Osborn Rd,85251,Scottsdale,AZ,33.487728,-111.925637,0.943,range,geocoded
316,1606 kings highway shreveport la 71103,Kings Hwy,71103,Shreveport,LA,32.481923,-93.76363,0.943,range,geocoded
355,3450 n rock rd wichita ks 67226,N Rock Rd,67226,Wichita,KS,37.745369,-97.244518,0.943,range,geocoded
357,1600 rockland road wilmington de 19803,Rockland Rd,19803,Wilmington,DE,39.788635,-75.56691,0.943,range,geocoded
222,2025 gravier street new orleans la 70112,Gravier St,70112,New Orleans,LA,29.957333,-90.083988,0.944,range,geocoded
245,3801 miranda ave palo alto ca 94304,Miranda Ave,94304,Palo Alto,CA,37.40288,-122.14184,0.944,range,geocoded
335,800 irving ave syracuse ny 13210,Irving Ave,13210,Syracuse,NY,43.039428,-76.138018,0.944,range,geocoded
60,135 rutledge ave charleston sc 29425,Rutledge Ave,29425,Charleston,SC,32.784104,-79.944576,0.945,range,geocoded
104,4 technology drive east setauket ny 11733,Technology Dr,11733,East Setauket,NY,40.896767,-73.08781,0.945,range,geocoded
180,1505 n edgemont st los angeles ca 90027,N Edgemont St,90027,Los Angeles,CA,34.098165,-118.296196,0.945,range,geocoded
198,1000 n oak avenue marshfield wi 54449,N Oak Ave,54449,Marshfield,WI,44.676239,-90.176661,0.945,range,geocoded
236,4401 s western avenue oklahoma city ok 73109,S Western Ave,73109,Oklahoma City,OK,35.420749,-97.530225,0.945,range,geocoded
290,7400 merton minter san antonio tx 78229,Merton Minter,78229,San Antonio,TX,29.508422,-98.580964,0.945,range,geocoded
291,8300 floyd curl dr san antonio tx 78229,Floyd Curl Dr,78229,San Antonio,TX,29.514646,-98.58056,0.945,range,geocoded
79,9500 euclid ave cleveland oh 44195,Euclid Ave,44195,Cleveland,OH,41.5034,-81.622963,0.946,range,geocoded
87,3533 s alameda street corpus christi tx 78411,S Alameda St,78411,Corpus Christi,TX,27.748217,-97.384245,0.946,range,geocoded
152,200 hawkins dr iowa city ia 52242,Hawkins Dr,52242,Iowa City,IA,41.657238,-91.54985,0.946,range,geocoded
243,730 welch road palo alto ca 94304,Welch Rd,94304,Palo Alto,CA,37.43738,-122.17499,0.946,range,geocoded
252,3509 n broad street philadelphia pa 19140,N Broad St,19140,Philadelphia,PA,40.006277,-75.151826,0.946,range,geocoded
262,200 belle terre road port jefferson ny 11777,Belle Terre Rd,11777,Port Jefferson,NY,40.947815,-73.060338,0.946,range,geocoded
130,200 patewood dr greenville sc 29615,Patewood Dr,29615,Greenville,SC,34.853696,-82.326342,0.947,range,geocoded
166,3599 rainbow blvd kansas city ks 66103,Rainbow Blvd,66103,Kansas City,KS,39.060388,-94.61299,0.947,range,geocoded
178,11370 anderson st loma linda ca 92354,Anderson St,92354,Loma Linda,CA,34.047154,-117.26121,0.947,range,geocoded
181,1520 san pablo st los angeles ca 90033,San Pablo St,90033,Los Angeles,CA,34.062593,-118.203039,0.947,range,geocoded
260,4401 penn avenue pittsburgh pa 15224,Penn Ave,15224,Pittsburgh,PA,40.465931,-79.95356,0.947,range,geocoded
268,593 eddy street providence ri 02903,Eddy St,02903,Providence,RI,41.81172,-71.40713,0.947,range,geocoded
309,13400 e shea blvd scottsdale az 85259,E Shea Blvd,85259,Scottsdale,AZ,33.58241,-111.788901,0.947,range,geocoded
135,30 hope dr hershey pa 17033,Hope Dr,17033,Hershey,PA,40.268385,-76.662198,0.948,range,geocoded
164,1450 scalp ave johnstown pa 15904,Scalp Ave,15904,Johnstown,PA,40.272414,-78.858666,0.949,range,geocoded
179,4650 sunset blvd los angeles ca 90027,Sunset Blvd,90027,Los Angeles,CA,34.09808,-118.290517,0.949,range,geocoded
244,213 quarry rd palo alto ca 94304,Quarry Rd,94304,Palo Alto,CA,37.43952,-122.171051,0.949,range,geocoded
247,3900 woodland ave philadelphia pa 19104,Woodland Ave,19104,Philadelphia,PA,39.949131,-75.203415,0.949,range,geocoded
283,3555 w 13 mile road royal oak mi 48073,W 13 Mile Rd,48073,Royal Oak,MI,42.517703,-83.190241,0.949,range,geocoded
354,41 east post rd white plains ny 10601,E Post Rd,10601,White Plains,NY,41.026149,-73.770038,0.949,range,geocoded
356,620 baltimore dr wilkes-barre pa 18702,Baltimore Dr,18702,Wilkes-Barre,PA,41.253229,-75.806123,0.949,range,geocoded
361,5601 de soto avenue woodland hills ca 91367,de Soto Ave,91367,Woodland Hills,CA,34.170948,-118.588249,0.95,range,geocoded
28,5247 didesse dr baton rouge la 70808,Didesse Dr,70808,Baton Rouge,LA,30.402137,-91.110349,0.951,range,geocoded
56,211 st francis dr cape girardeau mo 63703,St Francis Dr,63703,Cape Girardeau,MO,37.302117,-89.572103,0.951,range,geocoded
113,9985 sierra ave fontana ca 92335,Sierra Ave,92335,South Fontana,CA,34.072252,-117.435597,0.951,range,geocoded
219,2150 corbin ave new britain ct 06053,Corbin Ave,06053,New Britain,CT,41.688367,-72.800549,0.951,range,geocoded
343,2800 e ajo way tucson az 85713,E Ajo Way,85713,South Tucson,AZ,32.177943,-110.932013,0.951,range,geocoded
27,905 union street bangor me 04401,Union St,04401,North Bangor,ME,44.813775,-68.803214,0.954,range,geocoded
51,329 bath rd brunswick me 04011,Bath Rd,04011,Brunswick,ME,43.912796,-69.891256,0.954,range,geocoded
165,601 john st kalamazoo mi 49007,John St,49007,Kalamazoo,MI,42.286176,-85.581372,0.954,range,geocoded
299,4150 clement st san francisco ca 94121,Clement St,94121,San Francisco,CA,37.781127,-122.50416,0.955,range,geocoded
307,92 campus drive scarborough me 04074,Campus Dr,04074,North Scarborough,ME,43.600907,-70.318897,0.955,range,geocoded
225,2400 canal st new orleans la 70119,Canal St,70119,New Orleans,LA,29.963237,-90.084052,0.956,range,geocoded
250,909 walnut st philadelphia pa 19107,Walnut St,19107,Philadelphia,PA,39.948414,-75.156193,0.956,range,geocoded
36,549 fair st bloomsburg pa 17815,Fair St,17815,Bloomsburg,PA,41.008597,-76.453123,0.957,range,geocoded
97,2799 west grand blvd k11-neurology detroit mi 48202 detroit mi 48202,W Grand Blvd,48202,Detroit,MI,42.366903,-83.082583,0.958,range,geocoded
59,109 bee st charleston sc 29401,Bee St,29401,Charleston,SC,32.785073,-79.953808,0.96,range,geocoded
272,1268 lee blvd richland wa 99352,Lee Blvd,99352,West Richland,WA,46.274915,-119.279751,0.96,range,geocoded
284,4860 y st sacramento ca 95817,Y St,95817,Sacramento,CA,38.552554,-121.448952,0.967,range,geocoded
