yr,name,sex,age,age_lb,age_ub,wt
2019,B01001_045E,F,67 to 69 years,67.0,69.0,0.01586585150662942
2020,B01001_045E,F,67 to 69 years,67.0,69.0,0.016240451475617545
2011,B01001_046E,F,70 to 74 years,70.0,74.0,0.01624626457628838
2012,B01001_046E,F,70 to 74 years,70.0,74.0,0.016546190489873654
2013,B01001_046E,F,70 to 74 years,70.0,74.0,0.0169735918728058
2014,B01001_046E,F,70 to 74 years,70.0,74.0,0.017493346313704916
2015,B01001_046E,F,70 to 74 years,70.0,74.0,0.018072469299964124
2016,B01001_046E,F,70 to 74 years,70.0,74.0,0.018695248499079425
2017,B01001_046E,F,70 to 74 years,70.0,74.0,0.01944270503426453
2018,B01001_046E,F,70 to 74 years,70.0,74.0,0.020240850635560775
2019,B01001_046E,F,70 to 74 years,70.0,74.0,0.021077275871245138
2020,B01001_046E,F,70 to 74 years,70.0,74.0,0.021834850444671917
2011,B01001_047E,F,75 to 79 years,75.0,79.0,0.013616009916538144
2012,B01001_047E,F,75 to 79 years,75.0,79.0,0.013481498277968818
2013,B01001_047E,F,75 to 79 years,75.0,79.0,0.013421928853725607
2014,B01001_047E,F,75 to 79 years,75.0,79.0,0.013471670062684737
2015,B01001_047E,F,75 to 79 years,75.0,79.0,0.013628727592046887
2016,B01001_047E,F,75 to 79 years,75.0,79.0,0.013867169411907895
2017,B01001_047E,F,75 to 79 years,75.0,79.0,0.014208596207839602
2018,B01001_047E,F,75 to 79 years,75.0,79.0,0.014666737565144557
2019,B01001_047E,F,75 to 79 years,75.0,79.0,0.015183047362548304
2020,B01001_047E,F,75 to 79 years,75.0,79.0,0.015404016472974858
2011,B01001_048E,F,80 to 84 years,80.0,84.0,0.011344850643259536
2012,B01001_048E,F,80 to 84 years,80.0,84.0,0.011205067100121278
2013,B01001_048E,F,80 to 84 years,80.0,84.0,0.011069800679659481
2014,B01001_048E,F,80 to 84 years,80.0,84.0,0.010960997619525193
2015,B01001_048E,F,80 to 84 years,80.0,84.0,0.010845418928790745
2016,B01001_048E,F,80 to 84 years,80.0,84.0,0.01075552413565219
2017,B01001_048E,F,80 to 84 years,80.0,84.0,0.010711348271302705
2018,B01001_048E,F,80 to 84 years,80.0,84.0,0.010746904418952031
2019,B01001_048E,F,80 to 84 years,80.0,84.0,0.01085709251582691
2020,B01001_048E,F,80 to 84 years,80.0,84.0,0.010780654867909387
2011,B01001_049E,F,85 years and over,85.0,200.0,0.011773664676245405
2012,B01001_049E,F,85 years and over,85.0,200.0,0.01200401912784064
2013,B01001_049E,F,85 years and over,85.0,200.0,0.012207821081846969
2014,B01001_049E,F,85 years and over,85.0,200.0,0.012359928182963234
2015,B01001_049E,F,85 years and over,85.0,200.0,0.012441687562120472
2016,B01001_049E,F,85 years and over,85.0,200.0,0.012548662934588378
2017,B01001_049E,F,85 years and over,85.0,200.0,0.01256053783710203
2018,B01001_049E,F,85 years and over,85.0,200.0,0.012557234287953259
2019,B01001_049E,F,85 years and over,85.0,200.0,0.012537088525655063
2020,B01001_049E,F,85 years and over,85.0,200.0,0.013053660878627332
