TRIFD,ID,ADDRESS
6091WMBSSD15STG,22963,1050 ST GEORGE RD IL 60914
61021GLVNZ310EP,22988,310 E PROGRESS DR IL 61021
61021PLWSDRTE38,22990,1550 FRANKLIN GROVE RD IL 61021
61032MCRSW323ES,22999,323 E STEPHENSON ST IL 61032
61032MDRNP701SH,23001,701 S HANCOCK AVE IL 61032
6106WFRGGR14SMA,23026,1040 S MAIN ST IL 61068
61104GNTCR302PE,23073,302 PEOPLES AVE IL 61104
61104VKNGC1827E,23080,1827 EIGHTEENTH AVE IL 61104
6123WPTRTR11PAT,23136,101 PATRIOT WAY IL 61234
61554PKNNR1300S,23241,1300 S 2ND ST IL 61554
61561NTNLW59WFR,23252,509 W FRONT ST IL 61561
61561PRSNSJUNCT,23253,1386 STATE RT 117 IL 61561
62048MRTHN142SD,23370,1402 S DELMAR IL 62048
6208WMDWST735ST,23388,7350 STATE ROUTE 111 IL 62087
62206CCDNT500MO,23401,520 MONSANTO AVE IL 62206
62263LGMCR18355,23434,18355 ENTERPRISE AVENUE IL 62263
62305PRNCG229RA,23455,229 RADIO RD IL 62305
6230WPRNCG221PR,23460,221 PRINCE AGRI WAY IL 62305
62525STLYM2200E,23492,2200 E ELDORADO ST IL 62521
62685SHPMN3620H,23524,3620 HWY 16 W IL 62685
62707SRFRC3101J,23526,3101 J. DAVID JONES PKWY IL 62707
62959WRRNL21NFU,23574,201 N FOURTH ST IL 62959
63055LBDPWNO10L,23630,226 LABADIE POWER PLANT RD MO 63055
63070BLLFS1500F,23638,1500 ARDAGH GROUP DR MO 63070
63111HCCHM139ES,23692,139 E SOPER ST MO 63111
63114BDNLM2100W,23697,2100 WALTON RD MO 63114
63114BRNCR1900C,23698,1900 CRYSTAL INDUSTRIAL COURT MO 63114
63114BTRCF8501P,23699,8501 PAGE AVE MO 63114
63139MRQTT3185S,23744,3185 S KINGSHIGHWAY BLVD MO 63139
63301MCDNN2600N,23771,2600 N THIRD ST MO 63301
6339WNVRSL51SFI,23812,510 SOUTHEAST 1ST STREET MO 63390
63701SPRTCONEAT,23854,2500 SPARTECH DRIVE P.O. BOX 758 MO 63701
63901NRDYN1747C,23898,1747 CRAVENS RD MO 63901
64015MYRLB2401W,23906,2401 W JEFFERSON MO 64015
64024GLMRH140CO,23909,140 CORUM RD MO 64024
64063CNTRY2400N,23937,2400 NW QUARRY MO 64139
64116STHWS1746L,23984,1746 LEVEE RD MO 64116
